target_name,target_ra,target_dec,offset_name,offset_shortname,offset_ra,offset_dec,jAperMag3,separation,pos_angle,dra_offset,ddec_offset
PGC 1132088,340.029741,-0.8924476999999998,PGC 1132088_offset_A,PGC 1132088_offset_A,340.0309525424003,-0.8900093039317661,19.633066,9.801825752425257,206.41818948101053,-4.3610235635614485,-8.77822656183254
PGC 1132088,340.029741,-0.8924476999999998,PGC 1132088_offset_B,PGC 1132088_offset_B,340.03014236371,-0.895651107794705,19.43992,11.622412028995502,352.8593273631995,-1.444734082554328,11.532267981839354
PGC 1132088,340.029741,-0.8924476999999998,PGC 1132088_offset_C,PGC 1132088_offset_C,340.0278289612483,-0.895237316742226,19.562323,12.174689088179816,34.423998073818666,6.882504525404386,10.04261847774146
SDSS J224007.89-011522.1,340.03289900000004,-1.25614,SDSS J224007.89-011522.1_offset_A,SDSS J224007.89-011522.1_offset_A,340.03003778867986,-1.2447667654354417,19.275267,42.21882190970455,165.8821632356277,10.297885609698225,-40.943650018094694
SDSS J224007.89-011522.1,340.03289900000004,-1.25614,SDSS J224007.89-011522.1_offset_B,SDSS J224007.89-011522.1_offset_B,340.03761002192465,-1.26807595990412,17.606583,46.193779701145516,338.4659668439488,-16.955603607147438,42.96944022849145
SDSS J224007.89-011522.1,340.03289900000004,-1.25614,SDSS J224007.89-011522.1_offset_C,SDSS J224007.89-011522.1_offset_C,340.0449674876989,-1.2623713863719739,19.048584,48.886916902275566,297.31441354704907,-43.43611505220056,22.43289015766472
SDSS J224009.37-003856.5,340.039043,-0.6490545999999999,SDSS J224009.37-003856.5_offset_A,SDSS J224009.37-003856.5_offset_A,340.03965140272726,-0.6467233026714169,14.566384,8.673724519964606,194.62545674396188,-2.1901092877651016,-8.392670514146173
SDSS J224009.37-003856.5,340.039043,-0.6490545999999999,SDSS J224009.37-003856.5_offset_B,SDSS J224009.37-003856.5_offset_B,340.04176864680494,-0.6529901315951225,19.861885,17.233662997134076,325.2962493791218,-9.811698935735876,14.1679110827227
SDSS J224009.37-003856.5,340.039043,-0.6490545999999999,SDSS J224009.37-003856.5_offset_C,SDSS J224009.37-003856.5_offset_C,340.03428875133085,-0.6480004829178138,19.364758,17.5298736935599,102.50224450953,17.114197048348192,-3.794829526122963
SDSS J224011.46-011448.6,340.0477915,-1.24684,SDSS J224011.46-011448.6_offset_A,SDSS J224011.46-011448.6_offset_A,340.04258774964734,-1.244759321683907,19.638481,20.171388153753796,111.79833476755053,18.729065726404688,-7.490460413958003
SDSS J224011.46-011448.6,340.0477915,-1.24684,SDSS J224011.46-011448.6_offset_B,SDSS J224011.46-011448.6_offset_B,340.0550617646759,-1.2485024212316027,18.062902,26.84241995111356,282.8827163746913,-26.166755840228625,5.984680261158624
SDSS J224011.46-011448.6,340.0477915,-1.24684,SDSS J224011.46-011448.6_offset_C,SDSS J224011.46-011448.6_offset_C,340.05729408452817,-1.2430660437847787,17.92403,36.800951722972776,248.33472989849074,-34.2012045941047,-13.586303902118267
SDSS J224013.39-005404.4,340.055801,-0.9012233000000001,SDSS J224013.39-005404.4_offset_A,SDSS J224013.39-005404.4_offset_A,340.0571168100733,-0.9022827758335056,19.922522,6.081141019186411,308.8440923598394,-4.736330293407037,3.814112144204294
SDSS J224013.39-005404.4,340.055801,-0.9012233000000001,SDSS J224013.39-005404.4_offset_B,SDSS J224013.39-005404.4_offset_B,340.0546831056553,-0.8991020830978076,18.915895,8.631701372912872,152.21341915879069,4.023921810523098,-7.636381463871952
SDSS J224013.39-005404.4,340.055801,-0.9012233000000001,SDSS J224013.39-005404.4_offset_C,SDSS J224013.39-005404.4_offset_C,340.0614119067755,-0.9017645622363556,17.629797,20.290542309844593,275.51068413901237,-20.196765681055048,1.9485284871087238
SDSS J224014.28-001121.1,340.05950099999995,-0.18920889999999999,SDSS J224014.28-001121.1_offset_A,SDSS J224014.28-001121.1_offset_A,340.0638558910146,-0.19035750608636579,17.546606,16.21365968671126,284.77540046152353,-15.677522171457,4.134979931447856
SDSS J224014.28-001121.1,340.05950099999995,-0.18920889999999999,SDSS J224014.28-001121.1_offset_B,SDSS J224014.28-001121.1_offset_B,340.0627135552263,-0.17880001909382093,19.666578,39.21608182947329,197.15202005593477,-11.5651359446873,-37.47197227404069
SDSS J224014.28-001121.1,340.05950099999995,-0.18920889999999999,SDSS J224014.28-001121.1_offset_C,SDSS J224014.28-001121.1_offset_C,340.0471693891223,-0.1921078537580432,19.182165,45.603755886060775,76.77088473393354,44.3935571526403,10.436217510936633
SDSS J224017.28-011442.8,340.0720225,-1.245235,SDSS J224017.28-011442.8_offset_A,SDSS J224017.28-011442.8_offset_A,340.07296626435937,-1.23771351810419,19.840273,27.28955844319942,187.15018805846606,-3.3967493498309267,-27.077335429195188
SDSS J224017.28-011442.8,340.0720225,-1.245235,SDSS J224017.28-011442.8_offset_B,SDSS J224017.28-011442.8_offset_B,340.0773164358967,-1.2383906687078337,19.893116,31.147275111561306,217.71457270491808,-19.053668545891714,-24.63961167597624
SDSS J224017.28-011442.8,340.0720225,-1.245235,SDSS J224017.28-011442.8_offset_C,SDSS J224017.28-011442.8_offset_C,340.0725156160467,-1.2362778907196097,18.716417,32.29439912463116,183.15038290183807,-1.7747985504863653,-32.24559357418537
SDSS J224018.29-005223.7,340.0762269,-0.8732648999999999,SDSS J224018.29-005223.7_offset_A,SDSS J224018.29-005223.7_offset_A,340.07916800072616,-0.8721900854079456,16.765673,11.271675952397478,249.9231871270998,-10.58673285510053,-3.869336667494977
